patch,layer,group,n,acc,pred_counts,true_counts,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc,channels
baseline,,,640,0.7718750238418579,"[62, 61, 54, 74, 69, 60, 69, 62, 63, 66]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",,,,,,,
points_zero,input,points_zero,,,,,1.3214409351348877,0.3228261470794678,0.30071765184402466,0.7734375,0.7718750238418579,0.6859375238418579,
features_zero,input,features_zero,,,,,108.00244140625,47.668514251708984,12.668399810791016,0.10468750447034836,0.7718750238418579,0.10312499850988388,
mask_all_true,input,mask_all_true,,,,,8.122013092041016,2.319288969039917,0.9659145474433899,0.27031251788139343,0.7718750238418579,0.24843750894069672,
feature_group_zero,input,kin_logs_0_4,,,,,13.675318717956543,4.421446800231934,1.1542644500732422,0.17812500894069672,0.7718750238418579,0.15312500298023224,"[0, 1, 2, 3, 4]"
feature_group_zero,input,pid_charge_5_10,,,,,6.689525127410889,3.606619358062744,0.6475940942764282,0.10781250149011612,0.7718750238418579,0.11093749850988388,"[5, 6, 7, 8, 9, 10]"
feature_group_zero,input,coords_last2,,,,,34.39377212524414,7.316932678222656,5.517261028289795,0.15468750894069672,0.7718750238418579,0.14374999701976776,"[11, 12]"
edge_conv_zero,0,edge_conv,,,,,237.9274444580078,19.51607894897461,28.166109085083008,0.09375,0.7718750238418579,0.10000000149011612,
edge_conv_zero,1,edge_conv,,,,,248.4882354736328,92.90385437011719,30.000911712646484,0.10312499850988388,0.7718750238418579,0.10000000149011612,
edge_conv_zero,2,edge_conv,,,,,21.758989334106445,4.616919040679932,1.900708556175232,0.09687500447034836,0.7718750238418579,0.10000000149011612,
fc_zero,0,fc,,,,,0.9227349758148193,1.7756704092025757,0.9996959567070007,0.09843750298023224,0.7718750238418579,0.10000000149011612,
fc_zero,1,fc,,,,,0.8941909670829773,1.653103232383728,1.0,0.09687500447034836,0.7718750238418579,0.10000000149011612,
