run_index,source_path,generated_at_utc,pred_label,n_particles,mean_super_score,mean_pt,mean_energy,mean_deltaR,particle0_fraction,charged_fraction
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
