event_idx,group,head_id,rank,particle_idx,particle_activation_norm,pid,pt,charge,is_second_lepton_like,particle_role,best_lepton_idx,second_lepton_idx,nearest_hadron_to_best_lepton_idx,hardest_hadron_idx
14381,A_protected_highiso,L2_ch128:160,1,0,5.435881614685059,muon,300.2547912597656,1.0,,particle0_best_lepton,0,,26,1
14381,A_protected_highiso,L2_ch128:160,2,1,1.2317172288894653,charged_hadron,48.02571105957031,1.0,,hardest_hadron,0,,26,1
14381,A_protected_highiso,L2_ch128:160,3,3,0.7911215424537659,charged_hadron,16.53639030456543,-1.0,,hard_hadron,0,,26,1
14596,A_protected_highiso,L2_ch128:160,1,0,6.556382179260254,electron,113.05442810058594,-1.0,,particle0_best_lepton,0,37,20,1
14596,A_protected_highiso,L2_ch128:160,2,2,1.334873080253601,charged_hadron,58.74953079223633,1.0,,hard_hadron,0,37,20,1
14596,A_protected_highiso,L2_ch128:160,3,18,0.9073106646537781,neutral_hadron,4.421797752380371,0.0,,hadron_neighbor,0,37,20,1
14600,A_protected_highiso,L2_ch128:160,1,0,7.02056360244751,muon,258.7874755859375,-1.0,,particle0_best_lepton,0,,12,2
14600,A_protected_highiso,L2_ch128:160,2,4,1.7374300956726074,charged_hadron,40.34858322143555,1.0,,hard_hadron,0,,12,2
14600,A_protected_highiso,L2_ch128:160,3,1,1.6623685359954834,photon,106.86139678955078,0.0,,photon_neighbor,0,,12,2
14625,A_protected_highiso,L2_ch128:160,1,0,5.67154598236084,electron,105.97429656982422,1.0,,particle0_best_lepton,0,10,44,1
14625,A_protected_highiso,L2_ch128:160,2,10,2.3976097106933594,electron,11.225505828857422,-1.0,,second_lepton,0,10,44,1
14625,A_protected_highiso,L2_ch128:160,3,1,1.5967862606048584,charged_hadron,57.44641876220703,1.0,,hardest_hadron,0,10,44,1
14742,A_protected_highiso,L2_ch128:160,1,0,6.579472064971924,electron,315.2446594238281,1.0,,particle0_best_lepton,0,,16,1
14742,A_protected_highiso,L2_ch128:160,2,3,1.618729591369629,charged_hadron,30.161989212036133,-1.0,,hard_hadron,0,,16,1
14742,A_protected_highiso,L2_ch128:160,3,1,1.1531075239181519,charged_hadron,73.39140319824219,-1.0,,hardest_hadron,0,,16,1
14991,A_protected_highiso,L2_ch128:160,1,0,5.859454154968262,muon,142.14076232910156,-1.0,,particle0_best_lepton,0,,42,1
14991,A_protected_highiso,L2_ch128:160,2,5,1.241220235824585,charged_hadron,23.168031692504883,1.0,,hard_hadron,0,,42,1
14991,A_protected_highiso,L2_ch128:160,3,6,1.0538077354431152,charged_hadron,22.905885696411133,-1.0,,hard_hadron,0,,42,1
14999,A_protected_highiso,L2_ch128:160,1,0,5.48592472076416,muon,185.35040283203125,1.0,,particle0_best_lepton,0,,21,1
14999,A_protected_highiso,L2_ch128:160,2,8,1.0245271921157837,charged_hadron,20.605192184448242,-1.0,,hard_hadron,0,,21,1
14999,A_protected_highiso,L2_ch128:160,3,32,0.8620051145553589,charged_hadron,2.4214284420013428,-1.0,,hadron_neighbor,0,,21,1
15006,A_protected_highiso,L2_ch128:160,1,0,7.227902889251709,electron,254.96595764160156,-1.0,,particle0_best_lepton,0,,12,1
15006,A_protected_highiso,L2_ch128:160,2,4,2.162783622741699,charged_hadron,30.37660789489746,1.0,,hard_hadron,0,,12,1
15006,A_protected_highiso,L2_ch128:160,3,1,1.6770578622817993,charged_hadron,129.26129150390625,-1.0,,hardest_hadron,0,,12,1
15112,A_protected_highiso,L2_ch128:160,1,0,6.6415886878967285,electron,273.059814453125,-1.0,,particle0_best_lepton,0,,17,1
15112,A_protected_highiso,L2_ch128:160,2,2,1.4669688940048218,neutral_hadron,35.64738845825195,0.0,,hard_hadron,0,,17,1
15112,A_protected_highiso,L2_ch128:160,3,1,0.8501327633857727,charged_hadron,49.0235595703125,1.0,,hardest_hadron,0,,17,1
15233,A_protected_highiso,L2_ch128:160,1,0,5.428107738494873,electron,246.3203582763672,1.0,,particle0_best_lepton,0,,9,1
15233,A_protected_highiso,L2_ch128:160,2,18,1.3911948204040527,charged_hadron,5.896407604217529,1.0,,hadron_neighbor,0,,9,1
15233,A_protected_highiso,L2_ch128:160,3,15,1.1428712606430054,photon,6.222963333129883,0.0,,photon_neighbor,0,,9,1
15292,A_protected_highiso,L2_ch128:160,1,0,5.3570942878723145,muon,192.9404296875,-1.0,,particle0_best_lepton,0,,26,1
15292,A_protected_highiso,L2_ch128:160,2,8,1.497413992881775,charged_hadron,29.39792823791504,-1.0,,hard_hadron,0,,26,1
15292,A_protected_highiso,L2_ch128:160,3,6,1.2789782285690308,charged_hadron,40.96134948730469,1.0,,hard_hadron,0,,26,1
