patch,layer,group,n,pred_counts,true_counts,acc,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc,neurons,score_sum
baseline,,,640,"[243, 0, 45, 0, 7, 81, 241, 0, 0, 23]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.09687500447034836,,,,,,,,
pair_embed_zero,,pair_bias,,,,,1.3019044399261475,0.9641586542129517,0.565750777721405,0.621874988079071,0.09687500447034836,0.10468750447034836,,
particle_block_skip,0,block,,,,,0.6167268753051758,0.7728956341743469,0.5218895673751831,0.6468750238418579,0.09687500447034836,0.10625000298023224,,
particle_block_skip,1,block,,,,,0.4216632843017578,0.41003528237342834,0.39135414361953735,0.7015625238418579,0.09687500447034836,0.10625000298023224,,
particle_block_skip,2,block,,,,,0.20352935791015625,0.29439854621887207,0.3335554003715515,0.7671875357627869,0.09687500447034836,0.109375,,
particle_block_skip,3,block,,,,,0.108673095703125,0.1869623363018036,0.27326223254203796,0.8343750238418579,0.09687500447034836,0.10468750447034836,,
particle_block_skip,4,block,,,,,-0.0033473968505859375,0.2545734941959381,0.29610511660575867,0.7796875238418579,0.09687500447034836,0.10781250149011612,,
particle_block_skip,5,block,,,,,-0.07917404174804688,0.403297483921051,0.3671744465827942,0.7125000357627869,0.09687500447034836,0.12343750149011612,,
particle_block_skip,6,block,,,,,0.07170677185058594,0.4220883846282959,0.40032169222831726,0.714062511920929,0.09687500447034836,0.11250000447034836,,
particle_block_skip,7,block,,,,,0.38558530807495117,0.8321489691734314,0.6338090300559998,0.6156250238418579,0.09687500447034836,0.09843750298023224,,
cls_block_zero,0,cls_block,,,,,1.8612592220306396,3.7463173866271973,0.8930259346961975,0.37968751788139343,0.09687500447034836,0.10000000149011612,,
cls_block_zero,1,cls_block,,,,,4.536202907562256,1.381977915763855,0.9741621017456055,0.37968751788139343,0.09687500447034836,0.10000000149011612,,
mlp_top_group_zero,0,top32,,,,,-0.0035352706909179688,0.030011484399437904,0.09490356594324112,0.9312500357627869,0.09687500447034836,0.10000000149011612,"[122, 80, 164, 0, 438, 64, 12, 59, 289, 425, 81, 105, 155, 23, 403, 139, 291, 141, 120, 349, 166, 129, 54, 193, 250, 412, 179, 452, 505, 446, 450, 422]",181.59616088867188
mlp_top_group_zero,1,top32,,,,,0.047872066497802734,0.024602258577942848,0.08436023443937302,0.940625011920929,0.09687500447034836,0.10312499850988388,"[110, 323, 442, 370, 252, 75, 27, 371, 209, 87, 215, 192, 347, 77, 197, 109, 202, 128, 410, 203, 290, 236, 369, 397, 267, 352, 474, 139, 216, 500, 409, 416]",193.42306518554688
mlp_top_group_zero,2,top32,,,,,0.019305706024169922,0.012727241031825542,0.07246793061494827,0.957812488079071,0.09687500447034836,0.09687500447034836,"[380, 78, 240, 11, 200, 312, 369, 394, 71, 105, 170, 427, 112, 334, 41, 284, 364, 492, 247, 234, 304, 249, 90, 52, 235, 354, 126, 403, 510, 168, 486, 227]",144.73281860351562
mlp_top_group_zero,3,top32,,,,,0.021826744079589844,0.007861494086682796,0.05368470028042793,0.9609375,0.09687500447034836,0.09843750298023224,"[474, 97, 34, 122, 53, 15, 93, 452, 72, 419, 144, 11, 240, 29, 454, 395, 127, 84, 359, 50, 216, 356, 243, 168, 183, 25, 428, 158, 246, 304, 376, 447]",162.31028747558594
mlp_top_group_zero,4,top32,,,,,0.021793365478515625,0.014120662584900856,0.06772767752408981,0.9515625238418579,0.09687500447034836,0.09843750298023224,"[453, 252, 117, 268, 284, 295, 38, 76, 22, 154, 128, 188, 301, 510, 286, 32, 175, 55, 140, 318, 225, 419, 440, 508, 498, 331, 10, 501, 247, 213, 243, 259]",159.948486328125
mlp_top_group_zero,5,top32,,,,,-0.013400077819824219,0.0193839892745018,0.08698510378599167,0.9437500238418579,0.09687500447034836,0.1015625,"[51, 123, 5, 353, 316, 290, 389, 118, 484, 128, 20, 120, 314, 237, 415, 195, 155, 373, 13, 291, 310, 490, 139, 223, 180, 274, 164, 330, 285, 125, 348, 380]",162.4493408203125
mlp_top_group_zero,6,top32,,,,,-0.0521702766418457,0.022806411609053612,0.09121633321046829,0.942187488079071,0.09687500447034836,0.09375,"[301, 166, 272, 150, 68, 186, 291, 55, 158, 214, 30, 473, 493, 175, 36, 411, 502, 63, 240, 487, 191, 274, 372, 370, 374, 373, 107, 383, 233, 330, 139, 50]",222.7312774658203
mlp_top_group_zero,7,top32,,,,,-0.0306549072265625,0.07953088730573654,0.16710013151168823,0.8921875357627869,0.09687500447034836,0.09843750298023224,"[2, 141, 181, 250, 447, 427, 218, 178, 227, 319, 240, 306, 224, 321, 222, 366, 116, 486, 128, 376, 453, 356, 5, 273, 377, 126, 189, 208, 94, 456, 360, 314]",312.3067626953125
