patch,layer,group,n,pred_counts,true_counts,acc,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc,neurons,score_sum
baseline,,,640,"[243, 0, 45, 0, 7, 81, 241, 0, 0, 23]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.09687500447034836,,,,,,,,
pair_embed_zero,,pair_bias,,,,,1.2996127605438232,0.9640065431594849,0.5657467842102051,0.621874988079071,0.09687500447034836,0.10468750447034836,,
particle_block_skip,0,block,,,,,0.6157984733581543,0.7728174328804016,0.5217238664627075,0.645312488079071,0.09687500447034836,0.10625000298023224,,
particle_block_skip,1,block,,,,,0.4208998680114746,0.40948912501335144,0.391262412071228,0.7015625238418579,0.09687500447034836,0.10625000298023224,,
particle_block_skip,2,block,,,,,0.20191478729248047,0.2939104735851288,0.33327382802963257,0.7671875357627869,0.09687500447034836,0.109375,,
particle_block_skip,3,block,,,,,0.10812139511108398,0.18683302402496338,0.27316951751708984,0.8343750238418579,0.09687500447034836,0.10468750447034836,,
particle_block_skip,4,block,,,,,-0.004119396209716797,0.2546394467353821,0.2961593568325043,0.7796875238418579,0.09687500447034836,0.10781250149011612,,
particle_block_skip,5,block,,,,,-0.07888507843017578,0.40328606963157654,0.3669697642326355,0.7125000357627869,0.09687500447034836,0.12343750149011612,,
particle_block_skip,6,block,,,,,0.07148122787475586,0.4222249984741211,0.400241494178772,0.714062511920929,0.09687500447034836,0.11250000447034836,,
particle_block_skip,7,block,,,,,0.3846015930175781,0.832266628742218,0.6339014768600464,0.6171875,0.09687500447034836,0.09843750298023224,,
cls_block_zero,0,cls_block,,,,,1.8603699207305908,3.7471368312835693,0.8929939270019531,0.37968751788139343,0.09687500447034836,0.10000000149011612,,
cls_block_zero,1,cls_block,,,,,4.534683704376221,1.3814585208892822,0.9741109609603882,0.37968751788139343,0.09687500447034836,0.10000000149011612,,
mlp_top_group_zero,0,top32,,,,,-0.0035676956176757812,0.02997587062418461,0.0948486477136612,0.9312500357627869,0.09687500447034836,0.10000000149011612,"[122, 80, 164, 0, 438, 64, 12, 59, 289, 425, 81, 105, 155, 23, 403, 139, 291, 141, 120, 349, 166, 129, 54, 193, 250, 412, 179, 452, 505, 450, 446, 422]",181.61886596679688
mlp_top_group_zero,1,top32,,,,,0.047682762145996094,0.02455027960240841,0.08430337905883789,0.940625011920929,0.09687500447034836,0.10312499850988388,"[110, 323, 442, 370, 252, 75, 27, 371, 209, 87, 215, 192, 347, 77, 197, 109, 202, 128, 410, 203, 290, 236, 369, 397, 267, 352, 474, 139, 216, 500, 409, 416]",193.44981384277344
mlp_top_group_zero,2,top32,,,,,0.019791126251220703,0.012722763232886791,0.07247485965490341,0.957812488079071,0.09687500447034836,0.09687500447034836,"[380, 78, 240, 11, 200, 312, 369, 71, 394, 105, 170, 427, 112, 334, 284, 41, 364, 492, 247, 234, 249, 304, 90, 52, 235, 354, 126, 403, 510, 168, 486, 227]",144.7782745361328
mlp_top_group_zero,3,top32,,,,,0.021592140197753906,0.007855418138206005,0.05366550758481026,0.9609375,0.09687500447034836,0.09843750298023224,"[474, 97, 34, 122, 53, 15, 93, 452, 72, 419, 144, 11, 240, 29, 454, 395, 127, 84, 359, 50, 216, 356, 243, 168, 183, 25, 428, 158, 246, 304, 376, 447]",162.3151397705078
mlp_top_group_zero,4,top32,,,,,0.021683692932128906,0.014146513305604458,0.06776261329650879,0.949999988079071,0.09687500447034836,0.09843750298023224,"[453, 252, 117, 268, 284, 295, 38, 76, 22, 154, 128, 188, 301, 510, 286, 32, 175, 55, 140, 318, 225, 419, 508, 440, 498, 331, 10, 501, 247, 213, 243, 259]",159.9716033935547
mlp_top_group_zero,5,top32,,,,,-0.013814926147460938,0.019369959831237793,0.08695060759782791,0.942187488079071,0.09687500447034836,0.1015625,"[51, 123, 5, 353, 316, 290, 389, 118, 484, 128, 120, 20, 314, 237, 415, 195, 155, 373, 13, 291, 310, 490, 139, 223, 180, 274, 164, 330, 285, 125, 348, 380]",162.45327758789062
mlp_top_group_zero,6,top32,,,,,-0.052145957946777344,0.022807074710726738,0.0911814421415329,0.942187488079071,0.09687500447034836,0.09375,"[301, 166, 272, 150, 68, 186, 291, 55, 158, 214, 30, 473, 493, 175, 36, 411, 502, 63, 240, 487, 191, 372, 370, 274, 374, 373, 107, 383, 233, 330, 139, 50]",222.67185974121094
mlp_top_group_zero,7,top32,,,,,-0.032837867736816406,0.0789957344532013,0.16691909730434418,0.895312488079071,0.09687500447034836,0.09687500447034836,"[2, 141, 181, 250, 447, 427, 218, 178, 227, 319, 240, 306, 224, 321, 222, 366, 116, 486, 128, 376, 356, 453, 5, 273, 377, 126, 189, 208, 94, 456, 314, 360]",312.0909118652344
