patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop,feature_id
feature_channel_zero,input,part_e_log,3,label_Hgg,128,0.7578125,0.8359375,-0.078125,0.15389353036880493,1
feature_channel_zero,input,part_isElectron,3,label_Hgg,128,0.7578125,0.78125,-0.0234375,0.05522943288087845,9
feature_channel_zero,input,part_isMuon,3,label_Hgg,128,0.7578125,0.765625,-0.0078125,-0.010966205038130283,10
feature_channel_zero,input,part_pt_log,5,label_Hqql,128,0.953125,0.046875,0.90625,10.299354553222656,0
feature_channel_zero,input,part_logptrel,5,label_Hqql,128,0.953125,0.515625,0.4375,10.063718795776367,2
feature_channel_zero,input,part_deta,5,label_Hqql,128,0.953125,0.8125,0.140625,5.508066654205322,11
feature_channel_zero,input,part_dphi,5,label_Hqql,128,0.953125,0.8125,0.140625,5.304576873779297,12
feature_channel_zero,input,part_isElectron,5,label_Hqql,128,0.953125,0.4765625,0.4765625,4.466981887817383,9
feature_channel_zero,input,part_isMuon,5,label_Hqql,128,0.953125,0.484375,0.46875,4.248473167419434,10
feature_channel_zero,input,part_logerel,5,label_Hqql,128,0.953125,0.9375,0.015625,4.216741561889648,3
feature_channel_zero,input,part_deltaR,5,label_Hqql,128,0.953125,0.7890625,0.1640625,1.7491579055786133,4
feature_channel_zero,input,part_charge,5,label_Hqql,128,0.953125,0.703125,0.25,1.1321642398834229,5
feature_channel_zero,input,part_isChargedHadron,5,label_Hqql,128,0.953125,0.890625,0.0625,0.934728741645813,6
feature_channel_zero,input,part_isPhoton,5,label_Hqql,128,0.953125,0.8828125,0.0703125,0.5187833905220032,8
feature_channel_zero,input,part_isNeutralHadron,5,label_Hqql,128,0.953125,0.90625,0.046875,0.27700990438461304,7
feature_channel_zero,input,part_e_log,5,label_Hqql,128,0.953125,0.9296875,0.0234375,0.24025385081768036,1
feature_channel_zero,input,part_deta,0,label_QCD,128,0.7109375,0.59375,0.1171875,7.621807098388672,11
feature_channel_zero,input,part_deltaR,0,label_QCD,128,0.7109375,0.71875,-0.0078125,5.719577789306641,4
feature_channel_zero,input,part_logptrel,0,label_QCD,128,0.7109375,0.0859375,0.625,5.003259658813477,2
feature_channel_zero,input,part_dphi,0,label_QCD,128,0.7109375,0.640625,0.0703125,3.4809412956237793,12
feature_channel_zero,input,part_logerel,0,label_QCD,128,0.7109375,0.5,0.2109375,1.9729881286621094,3
feature_channel_zero,input,part_pt_log,0,label_QCD,128,0.7109375,0.9140625,-0.203125,0.6044579148292542,0
feature_channel_zero,input,part_isChargedHadron,0,label_QCD,128,0.7109375,0.703125,0.0078125,0.4852423071861267,6
feature_channel_zero,input,part_e_log,0,label_QCD,128,0.7109375,0.6484375,0.0625,0.3496318459510803,1
feature_channel_zero,input,part_charge,0,label_QCD,128,0.7109375,0.859375,-0.1484375,0.2649357318878174,5
feature_channel_zero,input,part_isPhoton,0,label_QCD,128,0.7109375,0.84375,-0.1328125,0.23942804336547852,8
feature_channel_zero,input,part_isNeutralHadron,0,label_QCD,128,0.7109375,0.703125,0.0078125,0.03888644278049469,7
feature_channel_zero,input,part_isMuon,0,label_QCD,128,0.7109375,0.7109375,0.0,-0.011682059615850449,10
feature_channel_zero,input,part_isElectron,0,label_QCD,128,0.7109375,0.71875,-0.0078125,0.008788611739873886,9
feature_channel_zero,input,part_deta,9,label_Tbl,128,0.9765625,0.75,0.2265625,12.21078109741211,11
feature_channel_zero,input,part_pt_log,9,label_Tbl,128,0.9765625,0.109375,0.8671875,9.309585571289062,0
feature_channel_zero,input,part_logptrel,9,label_Tbl,128,0.9765625,0.921875,0.0546875,6.8294172286987305,2
feature_channel_zero,input,part_logerel,9,label_Tbl,128,0.9765625,0.78125,0.1953125,6.231851100921631,3
feature_channel_zero,input,part_isMuon,9,label_Tbl,128,0.9765625,0.5078125,0.46875,4.413255214691162,10
feature_channel_zero,input,part_isElectron,9,label_Tbl,128,0.9765625,0.5625,0.4140625,3.9165616035461426,9
feature_channel_zero,input,part_dphi,9,label_Tbl,128,0.9765625,0.8515625,0.125,3.306434392929077,12
feature_channel_zero,input,part_deltaR,9,label_Tbl,128,0.9765625,0.9609375,0.015625,0.9143339991569519,4
feature_channel_zero,input,part_charge,9,label_Tbl,128,0.9765625,1.0,-0.0234375,-0.5151647329330444,5
feature_channel_zero,input,part_e_log,9,label_Tbl,128,0.9765625,0.9765625,0.0,0.45587456226348877,1
feature_channel_zero,input,part_isChargedHadron,9,label_Tbl,128,0.9765625,0.96875,0.0078125,0.1624019593000412,6
feature_channel_zero,input,part_isNeutralHadron,9,label_Tbl,128,0.9765625,0.96875,0.0078125,-0.12079965323209763,7
feature_channel_zero,input,part_isPhoton,9,label_Tbl,128,0.9765625,0.9609375,0.015625,-0.05278414860367775,8
feature_channel_zero,input,part_deltaR,8,label_Tbqq,128,0.890625,0.109375,0.78125,6.622046947479248,4
feature_channel_zero,input,part_deta,8,label_Tbqq,128,0.890625,0.6953125,0.1953125,4.177427291870117,11
feature_channel_zero,input,part_dphi,8,label_Tbqq,128,0.890625,0.7421875,0.1484375,3.2829155921936035,12
feature_channel_zero,input,part_logerel,8,label_Tbqq,128,0.890625,0.9296875,-0.0390625,3.255826950073242,3
feature_channel_zero,input,part_pt_log,8,label_Tbqq,128,0.890625,0.2421875,0.6484375,2.7403249740600586,0
feature_channel_zero,input,part_logptrel,8,label_Tbqq,128,0.890625,0.84375,0.046875,2.251638412475586,2
feature_channel_zero,input,part_isChargedHadron,8,label_Tbqq,128,0.890625,0.8125,0.078125,1.3947927951812744,6
feature_channel_zero,input,part_isPhoton,8,label_Tbqq,128,0.890625,0.7890625,0.1015625,1.2325174808502197,8
feature_channel_zero,input,part_charge,8,label_Tbqq,128,0.890625,0.734375,0.15625,1.155982255935669,5
feature_channel_zero,input,part_isNeutralHadron,8,label_Tbqq,128,0.890625,0.90625,-0.015625,0.5841817855834961,7
feature_channel_zero,input,part_e_log,8,label_Tbqq,128,0.890625,0.8515625,0.0390625,0.4730810523033142,1
feature_channel_zero,input,part_isElectron,8,label_Tbqq,128,0.890625,0.8671875,0.0234375,0.058729901909828186,9
feature_channel_zero,input,part_isMuon,8,label_Tbqq,128,0.890625,0.875,0.015625,0.05436430871486664,10
feature_channel_zero,input,part_logptrel,7,label_Wqq,128,0.71875,0.015625,0.703125,10.448978424072266,2
feature_channel_zero,input,part_deta,7,label_Wqq,128,0.71875,0.5078125,0.2109375,6.301055908203125,11
feature_channel_zero,input,part_pt_log,7,label_Wqq,128,0.71875,0.1015625,0.6171875,5.364449501037598,0
feature_channel_zero,input,part_logerel,7,label_Wqq,128,0.71875,0.1171875,0.6015625,5.233426094055176,3
feature_channel_zero,input,part_dphi,7,label_Wqq,128,0.71875,0.4375,0.28125,4.722626686096191,12
feature_channel_zero,input,part_deltaR,7,label_Wqq,128,0.71875,0.4296875,0.2890625,3.7231667041778564,4
feature_channel_zero,input,part_isChargedHadron,7,label_Wqq,128,0.71875,0.296875,0.421875,1.122371792793274,6
feature_channel_zero,input,part_isPhoton,7,label_Wqq,128,0.71875,0.4453125,0.2734375,0.627989649772644,8
feature_channel_zero,input,part_isNeutralHadron,7,label_Wqq,128,0.71875,0.515625,0.203125,0.5001133680343628,7
feature_channel_zero,input,part_charge,7,label_Wqq,128,0.71875,0.65625,0.0625,0.4467622637748718,5
feature_channel_zero,input,part_e_log,7,label_Wqq,128,0.71875,0.8203125,-0.1015625,0.36708033084869385,1
feature_channel_zero,input,part_isElectron,7,label_Wqq,128,0.71875,0.7265625,-0.0078125,-0.010151779279112816,9
feature_channel_zero,input,part_isMuon,7,label_Wqq,128,0.71875,0.7109375,0.0078125,0.009061843156814575,10
feature_channel_zero,input,part_logptrel,6,label_Zqq,128,0.625,0.0,0.625,8.996929168701172,2
feature_channel_zero,input,part_deta,6,label_Zqq,128,0.625,0.4609375,0.1640625,6.192562580108643,11
feature_channel_zero,input,part_logerel,6,label_Zqq,128,0.625,0.09375,0.53125,5.307163238525391,3
feature_channel_zero,input,part_dphi,6,label_Zqq,128,0.625,0.3984375,0.2265625,4.79306697845459,12
feature_channel_zero,input,part_pt_log,6,label_Zqq,128,0.625,0.0234375,0.6015625,4.699787616729736,0
feature_channel_zero,input,part_deltaR,6,label_Zqq,128,0.625,0.34375,0.28125,4.204329967498779,4
feature_channel_zero,input,part_isChargedHadron,6,label_Zqq,128,0.625,0.4375,0.1875,1.3017518520355225,6
feature_channel_zero,input,part_isPhoton,6,label_Zqq,128,0.625,0.359375,0.265625,1.2380808591842651,8
feature_channel_zero,input,part_charge,6,label_Zqq,128,0.625,0.1875,0.4375,1.1892735958099365,5
feature_channel_zero,input,part_isNeutralHadron,6,label_Zqq,128,0.625,0.515625,0.109375,0.7985924482345581,7
feature_channel_zero,input,part_e_log,6,label_Zqq,128,0.625,0.484375,0.140625,0.3762799799442291,1
feature_channel_zero,input,part_isMuon,6,label_Zqq,128,0.625,0.609375,0.015625,0.007010769098997116,10
feature_channel_zero,input,part_isElectron,6,label_Zqq,128,0.625,0.6015625,0.0234375,0.0025297580286860466,9
