event_idx,group,particle_role,pid,particle_idx,head_id,layer,class_label,particle_to_head_weight,head_to_class_weight,flow_weight
20484,C_Tbl_correct,second_lepton,muon,3,L2_ch128:160,L2,label_Hqql,1.305303692817688,4.707183837890625,6.14430444637037
20484,C_Tbl_correct,second_lepton,muon,3,L2_ch128:160,L2,label_Tbl,1.305303692817688,3.907280921936035,5.100188216279207
20485,C_Tbl_correct,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Hqql,4.354439735412598,-0.9294376373291016,-4.047180179573843
20485,C_Tbl_correct,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Tbl,4.354439735412598,0.7279184460639954,3.169677005680853
20485,C_Tbl_correct,hard_hadron,charged_hadron,2,L2_ch128:160,L2,label_Hqql,0.7730140686035156,-0.9294376373291016,-0.7184683695450076
20485,C_Tbl_correct,hard_hadron,charged_hadron,2,L2_ch128:160,L2,label_Tbl,0.7730140686035156,0.7279184460639954,0.5626911996034778
20485,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Hqql,0.7674258351325989,-0.9294376373291016,-0.7132744550309553
20485,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Tbl,0.7674258351325989,0.7279184460639954,0.5586234213790853
20486,C_Tbl_correct,best_lepton,muon,1,L2_ch128:160,L2,label_Hqql,4.744015216827393,1.2478108406066895,5.919633615560315
20486,C_Tbl_correct,best_lepton,muon,1,L2_ch128:160,L2,label_Tbl,4.744015216827393,2.1092519760131836,10.00632347032979
20486,C_Tbl_correct,hard_hadron,charged_hadron,3,L2_ch128:160,L2,label_Hqql,0.49690482020378113,1.2478108406066895,0.620043221399996
20486,C_Tbl_correct,hard_hadron,charged_hadron,3,L2_ch128:160,L2,label_Tbl,0.49690482020378113,2.1092519760131836,1.048097473905301
20486,C_Tbl_correct,particle0,neutral_hadron,0,L2_ch128:160,L2,label_Hqql,0.4465005099773407,1.2478108406066895,0.557148176686141
20486,C_Tbl_correct,particle0,neutral_hadron,0,L2_ch128:160,L2,label_Tbl,0.4465005099773407,2.1092519760131836,0.9417820829606001
20487,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Hqql,10.293864250183105,-2.1767663955688477,-22.407337780346097
20487,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Tbl,10.293864250183105,2.4406609535217285,25.12383253627513
20487,C_Tbl_correct,second_lepton,muon,4,L2_ch128:160,L2,label_Hqql,2.3889219760894775,-2.1767663955688477,-5.200125079187501
20487,C_Tbl_correct,second_lepton,muon,4,L2_ch128:160,L2,label_Tbl,2.3889219760894775,2.4406609535217285,5.830548588051556
20487,C_Tbl_correct,hadron_neighbor,charged_hadron,23,L2_ch128:160,L2,label_Hqql,1.2553479671478271,-2.1767663955688477,-2.732599269633056
20487,C_Tbl_correct,hadron_neighbor,charged_hadron,23,L2_ch128:160,L2,label_Tbl,1.2553479671478271,2.4406609535217285,3.0638787665005793
20488,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Hqql,4.97292423248291,1.7589361667633057,8.747056287087844
20488,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Tbl,4.97292423248291,1.671450138092041,8.311994895104817
20488,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Hqql,1.2100980281829834,1.7589361667633057,2.1284851871000114
20488,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Tbl,1.2100980281829834,1.671450138092041,2.022618516311354
20488,C_Tbl_correct,hadron_neighbor,charged_hadron,12,L2_ch128:160,L2,label_Hqql,1.1081886291503906,1.7589361667633057,1.9492330594084706
20488,C_Tbl_correct,hadron_neighbor,charged_hadron,12,L2_ch128:160,L2,label_Tbl,1.1081886291503906,1.671450138092041,1.85228203722545
20489,C_Tbl_correct,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Hqql,4.946350574493408,-0.7378139495849609,-3.649486453398822
20489,C_Tbl_correct,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Tbl,4.946350574493408,1.2178949117660522,6.024135196486611
20489,C_Tbl_correct,photon_neighbor,photon,3,L2_ch128:160,L2,label_Hqql,0.6742792129516602,-0.7378139495849609,-0.4974926092309033
20489,C_Tbl_correct,photon_neighbor,photon,3,L2_ch128:160,L2,label_Tbl,0.6742792129516602,1.2178949117660522,0.8212012225634453
20489,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Hqql,0.6556775569915771,-0.7378139495849609,-0.48376804797817385
20489,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Tbl,0.6556775569915771,1.2178949117660522,0.7985463604192375
20490,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Hqql,5.75769567489624,1.6080306768417358,9.258551273152136
20490,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Tbl,5.75769567489624,2.6160762310028076,15.062570800443723
20490,C_Tbl_correct,photon_neighbor,photon,34,L2_ch128:160,L2,label_Hqql,1.3222557306289673,1.6080306768417358,2.126227777481162
20490,C_Tbl_correct,photon_neighbor,photon,34,L2_ch128:160,L2,label_Tbl,1.3222557306289673,2.6160762310028076,3.4591217882056924
20490,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Hqql,0.8393088579177856,1.6080306768417358,1.3496343908768011
20490,C_Tbl_correct,hardest_hadron,charged_hadron,1,L2_ch128:160,L2,label_Tbl,0.8393088579177856,2.6160762310028076,2.1956959536688316
20491,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Hqql,7.670339584350586,1.7239751815795898,13.223475077707917
20491,C_Tbl_correct,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Tbl,7.670339584350586,3.533721446990967,27.104843494923443
