delta_pred_logit,kl,top1_match,base_acc,patch_acc,patch,layer,group
247.28616333007812,91.94873046875,0.10078125447034836,0.768750011920929,0.10000000149011612,edge_conv_zero,1,edge_conv
237.32492065429688,19.29660987854004,0.09921874850988388,0.768750011920929,0.10000000149011612,edge_conv_zero,0,edge_conv
107.76237487792969,47.70656967163086,0.10000000149011612,0.768750011920929,0.09843750298023224,features_zero,input,all_features
34.99603271484375,7.288330078125,0.14296875894069672,0.768750011920929,0.14140625298023224,feature_group_zero,input,coords_last2
21.810213088989258,4.642847537994385,0.09609375149011612,0.768750011920929,0.10000000149011612,edge_conv_zero,2,edge_conv
13.733259201049805,4.4670023918151855,0.17265625298023224,0.768750011920929,0.15156249701976776,feature_group_zero,input,kin_logs_0_4
8.156205177307129,2.3262767791748047,0.25312501192092896,0.768750011920929,0.23984375596046448,mask_all_true,input,mask
6.511849403381348,3.5460610389709473,0.10781250149011612,0.768750011920929,0.10781250149011612,feature_group_zero,input,pid_charge_5_10
6.333278656005859,1.3510862588882446,0.582812488079071,0.768750011920929,0.528124988079071,feature_channel_zero,input,part_deta
5.979147434234619,1.6569836139678955,0.4164062440395355,0.768750011920929,0.38671875,feature_channel_zero,input,part_logptrel
5.6078057289123535,2.221883535385132,0.522656261920929,0.768750011920929,0.46171876788139343,particle_topk_mask_zero,particles,top_pt
5.6078057289123535,2.221883535385132,0.522656261920929,0.768750011920929,0.46171876788139343,particle_topk_mask_zero,particles,top_energy
5.6078057289123535,2.221883535385132,0.522656261920929,0.768750011920929,0.46171876788139343,particle_topk_mask_zero,particles,high_deltaR
4.754989147186279,2.24717116355896,0.17421875894069672,0.768750011920929,0.16796875,feature_channel_zero,input,part_pt_log
4.530776500701904,1.053369402885437,0.5992187857627869,0.768750011920929,0.546093761920929,feature_channel_zero,input,part_logerel
4.251418590545654,0.7557846903800964,0.59765625,0.768750011920929,0.534375011920929,feature_channel_zero,input,part_dphi
3.9011363983154297,0.9497079849243164,0.59375,0.768750011920929,0.539843738079071,feature_channel_zero,input,part_deltaR
1.2792174816131592,0.31423312425613403,0.7640625238418579,0.768750011920929,0.671875,points_zero,input,all_points
1.2062702178955078,0.4816529452800751,0.6625000238418579,0.768750011920929,0.5953125357627869,feature_channel_zero,input,part_isChargedHadron
1.024638295173645,0.45676088333129883,0.688281238079071,0.768750011920929,0.614062488079071,feature_channel_zero,input,part_isPhoton
0.9013338088989258,1.7715427875518799,0.10781250149011612,0.768750011920929,0.10000000149011612,fc_zero,0,fc
0.8818865418434143,0.5664665102958679,0.882031261920929,0.768750011920929,0.664843738079071,feature_channel_zero,input,part_isMuon
0.8771846890449524,1.6503928899765015,0.09609375149011612,0.768750011920929,0.10000000149011612,fc_zero,1,fc
0.8535045981407166,0.588178277015686,0.87890625,0.768750011920929,0.671875,feature_channel_zero,input,part_isElectron
0.806716799736023,0.4571664035320282,0.688281238079071,0.768750011920929,0.61328125,feature_channel_zero,input,part_charge
0.5894104242324829,0.2589728534221649,0.7984375357627869,0.768750011920929,0.690625011920929,feature_channel_zero,input,part_isNeutralHadron
0.33796054124832153,0.05584036931395531,0.885937511920929,0.768750011920929,0.742968738079071,feature_channel_zero,input,part_e_log
