patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop
edge_channel_head_zero,1,ch112:128,2,label_Hcc,128,0.5625,0.3671875,0.1953125,4.220165252685547
edge_channel_head_zero,0,ch40:48,2,label_Hcc,128,0.5625,0.3046875,0.2578125,3.585158348083496
edge_channel_head_zero,0,ch24:32,2,label_Hcc,128,0.5625,0.25,0.3125,3.4586400985717773
edge_channel_head_zero,0,ch8:16,2,label_Hcc,128,0.5625,0.1640625,0.3984375,2.2576606273651123
edge_channel_head_zero,2,ch64:96,2,label_Hcc,128,0.5625,0.546875,0.015625,2.127315044403076
edge_channel_head_zero,0,ch0:8,2,label_Hcc,128,0.5625,0.46875,0.09375,1.6989545822143555
edge_channel_head_zero,0,ch48:56,2,label_Hcc,128,0.5625,0.375,0.1875,1.5733585357666016
edge_channel_head_zero,0,ch16:24,2,label_Hcc,128,0.5625,0.3359375,0.2265625,1.4589375257492065
edge_channel_head_zero,1,ch96:112,2,label_Hcc,128,0.5625,0.2421875,0.3203125,1.126647710800171
edge_channel_head_zero,0,ch32:40,2,label_Hcc,128,0.5625,0.4453125,0.1171875,0.7528963088989258
edge_channel_head_zero,2,ch160:192,2,label_Hcc,128,0.5625,0.53125,0.03125,0.6523845195770264
edge_channel_head_zero,2,ch128:160,2,label_Hcc,128,0.5625,0.484375,0.078125,0.552741527557373
edge_channel_head_zero,2,ch0:32,2,label_Hcc,128,0.5625,0.7109375,-0.1484375,0.5499037504196167
edge_channel_head_zero,1,ch32:48,2,label_Hcc,128,0.5625,0.6015625,-0.0390625,0.5457737445831299
edge_channel_head_zero,1,ch48:64,2,label_Hcc,128,0.5625,0.4921875,0.0703125,0.525069534778595
edge_channel_head_zero,2,ch32:64,2,label_Hcc,128,0.5625,0.3203125,0.2421875,0.4766886830329895
edge_channel_head_zero,0,ch56:64,2,label_Hcc,128,0.5625,0.3515625,0.2109375,0.41256776452064514
edge_channel_head_zero,1,ch0:16,2,label_Hcc,128,0.5625,0.4375,0.125,0.32051029801368713
edge_channel_head_zero,1,ch64:80,2,label_Hcc,128,0.5625,0.59375,-0.03125,0.29357242584228516
edge_channel_head_zero,2,ch96:128,2,label_Hcc,128,0.5625,0.6328125,-0.0703125,0.24339482188224792
edge_channel_head_zero,2,ch192:224,2,label_Hcc,128,0.5625,0.5703125,-0.0078125,0.023386845365166664
edge_channel_head_zero,1,ch80:96,2,label_Hcc,128,0.5625,0.59375,-0.03125,0.016266178339719772
edge_channel_head_zero,1,ch16:32,3,label_Hgg,128,0.7578125,0.3984375,0.359375,9.685419082641602
edge_channel_head_zero,1,ch112:128,3,label_Hgg,128,0.7578125,0.6953125,0.0625,4.41602897644043
edge_channel_head_zero,2,ch224:256,3,label_Hgg,128,0.7578125,0.8359375,-0.078125,3.700178623199463
edge_channel_head_zero,0,ch24:32,3,label_Hgg,128,0.7578125,0.5625,0.1953125,3.229360818862915
edge_channel_head_zero,0,ch40:48,3,label_Hgg,128,0.7578125,0.7578125,0.0,3.1211986541748047
edge_channel_head_zero,0,ch16:24,3,label_Hgg,128,0.7578125,0.2890625,0.46875,1.9165794849395752
edge_channel_head_zero,0,ch8:16,3,label_Hgg,128,0.7578125,0.546875,0.2109375,1.839173674583435
edge_channel_head_zero,2,ch0:32,3,label_Hgg,128,0.7578125,0.4140625,0.34375,1.6860692501068115
edge_channel_head_zero,0,ch48:56,3,label_Hgg,128,0.7578125,0.8359375,-0.078125,1.5699737071990967
edge_channel_head_zero,2,ch64:96,3,label_Hgg,128,0.7578125,0.7734375,-0.015625,1.5653231143951416
edge_channel_head_zero,1,ch96:112,3,label_Hgg,128,0.7578125,0.609375,0.1484375,1.3365830183029175
edge_channel_head_zero,0,ch56:64,3,label_Hgg,128,0.7578125,0.75,0.0078125,0.8693404197692871
edge_channel_head_zero,2,ch160:192,3,label_Hgg,128,0.7578125,0.78125,-0.0234375,0.6111393570899963
edge_channel_head_zero,0,ch32:40,3,label_Hgg,128,0.7578125,0.7265625,0.03125,0.5892763137817383
edge_channel_head_zero,0,ch0:8,3,label_Hgg,128,0.7578125,0.421875,0.3359375,0.5804147720336914
edge_channel_head_zero,1,ch48:64,3,label_Hgg,128,0.7578125,0.6953125,0.0625,0.5579400062561035
edge_channel_head_zero,1,ch32:48,3,label_Hgg,128,0.7578125,0.3984375,0.359375,0.5332955121994019
edge_channel_head_zero,1,ch64:80,3,label_Hgg,128,0.7578125,0.75,0.0078125,0.46334534883499146
edge_channel_head_zero,2,ch128:160,3,label_Hgg,128,0.7578125,0.828125,-0.0703125,0.3700464069843292
edge_channel_head_zero,2,ch96:128,3,label_Hgg,128,0.7578125,0.7734375,-0.015625,0.22961190342903137
edge_channel_head_zero,1,ch0:16,3,label_Hgg,128,0.7578125,0.71875,0.0390625,0.22408542037010193
edge_channel_head_zero,2,ch192:224,3,label_Hgg,128,0.7578125,0.7578125,0.0,0.07603459060192108
edge_channel_head_zero,2,ch32:64,3,label_Hgg,128,0.7578125,0.84375,-0.0859375,0.0271669402718544
edge_channel_head_zero,1,ch80:96,3,label_Hgg,128,0.7578125,0.71875,0.0390625,0.025460850447416306
edge_channel_head_zero,1,ch16:32,5,label_Hqql,128,0.953125,0.8125,0.140625,5.899196624755859
edge_channel_head_zero,0,ch40:48,5,label_Hqql,128,0.953125,0.75,0.203125,5.711199760437012
edge_channel_head_zero,2,ch224:256,5,label_Hqql,128,0.953125,0.9453125,0.0078125,4.130253791809082
edge_channel_head_zero,2,ch128:160,5,label_Hqql,128,0.953125,0.9375,0.015625,2.2420105934143066
edge_channel_head_zero,1,ch80:96,5,label_Hqql,128,0.953125,0.9375,0.015625,2.1450812816619873
edge_channel_head_zero,1,ch112:128,5,label_Hqql,128,0.953125,0.8671875,0.0859375,2.1425247192382812
edge_channel_head_zero,0,ch8:16,5,label_Hqql,128,0.953125,0.890625,0.0625,1.7853248119354248
edge_channel_head_zero,0,ch48:56,5,label_Hqql,128,0.953125,0.8828125,0.0703125,1.3497804403305054
edge_channel_head_zero,2,ch64:96,5,label_Hqql,128,0.953125,0.9375,0.015625,1.2422220706939697
edge_channel_head_zero,1,ch96:112,5,label_Hqql,128,0.953125,0.890625,0.0625,1.171013355255127
edge_channel_head_zero,0,ch56:64,5,label_Hqql,128,0.953125,0.8515625,0.1015625,1.131293535232544
edge_channel_head_zero,2,ch0:32,5,label_Hqql,128,0.953125,0.921875,0.03125,0.9574114084243774
edge_channel_head_zero,0,ch24:32,5,label_Hqql,128,0.953125,0.8359375,0.1171875,0.9475193023681641
edge_channel_head_zero,2,ch160:192,5,label_Hqql,128,0.953125,0.9453125,0.0078125,0.7829425930976868
edge_channel_head_zero,1,ch32:48,5,label_Hqql,128,0.953125,0.953125,0.0,0.6777309775352478
edge_channel_head_zero,0,ch0:8,5,label_Hqql,128,0.953125,0.9375,0.015625,0.4435465931892395
edge_channel_head_zero,1,ch48:64,5,label_Hqql,128,0.953125,0.9296875,0.0234375,0.44252294301986694
edge_channel_head_zero,1,ch0:16,5,label_Hqql,128,0.953125,0.9453125,0.0078125,0.4200326204299927
edge_channel_head_zero,0,ch16:24,5,label_Hqql,128,0.953125,0.9375,0.015625,0.336722195148468
edge_channel_head_zero,0,ch32:40,5,label_Hqql,128,0.953125,0.953125,0.0,0.21637257933616638
edge_channel_head_zero,2,ch192:224,5,label_Hqql,128,0.953125,0.9453125,0.0078125,0.21128928661346436
edge_channel_head_zero,2,ch96:128,5,label_Hqql,128,0.953125,0.953125,0.0,0.17380180954933167
edge_channel_head_zero,2,ch32:64,5,label_Hqql,128,0.953125,0.9609375,-0.0078125,0.08163706958293915
edge_channel_head_zero,1,ch64:80,5,label_Hqql,128,0.953125,0.9453125,0.0078125,-0.0018691886216402054
edge_channel_head_zero,1,ch16:32,0,label_QCD,128,0.7109375,0.7109375,0.0,5.219613552093506
edge_channel_head_zero,0,ch40:48,0,label_QCD,128,0.7109375,0.6796875,0.03125,3.289867639541626
edge_channel_head_zero,2,ch64:96,0,label_QCD,128,0.7109375,0.6484375,0.0625,3.106299877166748
edge_channel_head_zero,2,ch224:256,0,label_QCD,128,0.7109375,0.6796875,0.03125,2.792073965072632
edge_channel_head_zero,1,ch112:128,0,label_QCD,128,0.7109375,0.7890625,-0.078125,0.9979864954948425
edge_channel_head_zero,0,ch24:32,0,label_QCD,128,0.7109375,0.7109375,0.0,0.7133413553237915
