pred_label,n_pred,head_event_score_mean,head_event_score_p90,acc_within_pred
label_QCD,62,39.58282470703125,48.09356689453125,0.7096773982048035
label_Hbb,61,38.01473617553711,44.058773040771484,0.7213114500045776
label_Hcc,54,38.22652816772461,45.156898498535156,0.6851851940155029
label_Hgg,74,35.55788803100586,39.846832275390625,0.5945945978164673
label_H4q,69,36.77161407470703,42.788307189941406,0.739130437374115
label_Hqql,60,33.95420455932617,38.61621856689453,1.0
label_Zqq,69,36.80665588378906,42.886688232421875,0.7101449370384216
label_Wqq,62,35.98221969604492,40.91306686401367,0.7419354915618896
label_Tbqq,63,37.6280632019043,47.67429733276367,0.8730159401893616
label_Tbl,66,39.88350296020508,55.843055725097656,0.9696969985961914
