file,label,true_n,pred_n
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Zqq,0,4451
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Wqq,100000,11
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Tbl,0,3306
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_QCD,100000,71085
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hbb,0,133
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hcc,0,1130
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hgg,0,0
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_H4q,0,465
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hqql,0,6673
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Zqq,0,17808
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Wqq,0,15
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Tbl,0,2691
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_QCD,0,45994
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hbb,0,50
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hcc,0,8309
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hgg,0,0
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_H4q,0,1113
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hqql,0,29974
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Zqq,100000,7936
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Wqq,0,3
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Tbl,0,6621
