test,target_group,n,flip_rate,success_to_Hqql_rate,mean_delta_margin_Hqql_minus_Tbl,mean_delta_baseline_pred_logit,mean_delta_Hqql_logit,mean_delta_Tbl_logit
2A_isolation_hadronic_injection,Hqql_to_Tbl,35,0.7142857142857143,0.6857142857142857,2.3936070578438895,-3.278771342550005,-0.885164315359933,-3.278771342550005
2C_neighbor_swap,Hqql_to_Tbl,35,0.45714285714285713,0.4,0.8168249794415066,-3.074249167101724,-2.257424281324659,-3.074249167101724
random_same_count,Hqql_to_Tbl,35,0.5428571428571428,0.42857142857142855,1.9292319587298803,-1.7402213164738247,0.18901065843445913,-1.7402213164738247
2B_lepton_core_swap,Tbl_correct,80,0.3125,0.15,4.577128772065043,-2.7290677700191734,1.8480610355734826,-2.7290677700191734
random_same_count,Tbl_correct,80,0.1375,0.1375,4.326607473194599,-0.8663494825363159,3.460258039832115,-0.8663494825363159
